Canonical Employer,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Notes
Menlo Security,https://www.menlosecurity.com,https://www.menlosecurity.com/about/life-at-menlo,https://www.menlosecurity.com/about/life-at-menlo,Global cyber vendor portal,Custom / backend unverified,High,
Mobb,https://mobb.ai,https://content.mobb.ai/careers,https://content.mobb.ai/careers,Global cyber vendor portal,Custom / backend unverified,High,Official careers page currently reports no open opportunities.
Noname Security,https://www.akamai.com,https://www.akamai.com/careers,https://www.akamai.com/careers,Parent-consolidated global cyber roles,Akamai Careers,Verified,Noname Security was acquired by Akamai; use Akamai hiring portal.
Obsidian Security,https://www.obsidiansecurity.com,https://www.obsidiansecurity.com/careers,https://job-boards.greenhouse.io/obsidiansecurity,Global cyber vendor portal,Greenhouse,Verified,
Orca Security,https://orca.security,https://orca.security/about/careers/,https://orca.security/about/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Panther Labs,https://panther.com,https://panther.com/company/careers,https://panther.com/company/careers,Global cyber vendor portal,Custom / backend unverified,High,
Pentera,https://pentera.io,https://pentera.io/careers/,https://pentera.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Protect AI,https://protectai.com,https://jobs.paloaltonetworks.com/en/,https://jobs.paloaltonetworks.com/en/,Parent-consolidated global cyber roles,Palo Alto Networks Careers,Verified,Protect AI acquisition completed by Palo Alto Networks; use parent careers.
Red Canary,https://redcanary.com,https://redcanary.com/job-openings/,https://www.zscaler.com/careers,Parent-consolidated global cyber roles,Zscaler Careers,Verified,Zscaler completed acquisition of Red Canary on 2025-08-01; Red Canary careers now points to Zscaler opportunities.
Resilience,https://cyberresilience.com,https://cyberresilience.com/careers/,https://cyberresilience.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Safe Security,https://safe.security,https://jobs.safe.security/,https://jobs.lever.co/safe,Global cyber vendor portal,Lever,Verified,
Salt Security,https://salt.security,https://salt.security/careers,https://salt.security/careers,Global cyber vendor portal,Custom / backend unverified,High,
SecurityScorecard,https://securityscorecard.com,https://securityscorecard.com/company/careers/,https://job-boards.greenhouse.io/securityscorecard,Global cyber vendor portal,Greenhouse,Verified,
Semgrep,https://semgrep.dev,https://semgrep.dev/about/careers/,https://semgrep.dev/about/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Silverfort,https://www.silverfort.com,https://www.silverfort.com/careers/,https://www.silverfort.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Sonatype,https://www.sonatype.com,https://www.sonatype.com/company/careers,https://www.sonatype.com/company/careers,Global cyber vendor portal,Custom / backend unverified,High,
Sysdig,https://sysdig.com,https://www.sysdig.com/careers,https://www.sysdig.com/careers/open-positions,Global cyber vendor portal,Custom first-party job board,High,
Teleport,https://goteleport.com,https://goteleport.com/careers/,https://goteleport.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Torq,https://torq.io,https://torq.io/careers/,https://torq.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Traceable AI,https://www.traceable.ai,https://www.harness.io/company/careers,https://www.harness.io/company/jobs,Parent-consolidated global cyber roles,Harness Careers,Verified,Traceable merged with Harness; hiring is consolidated to Harness.
Upwind Security,https://www.upwind.io,https://www.upwind.io/careers,https://www.upwind.io/careers,Global cyber vendor portal,Custom / backend unverified,High,
Vectra AI,https://www.vectra.ai,https://www.vectra.ai/about/careers,https://www.vectra.ai/about/careers,Global cyber vendor portal,Custom / backend unverified,High,
Veracode,https://www.veracode.com,https://www.veracode.com/about,https://www.veracode.com/job-post/,Global cyber vendor portal,Custom first-party job board,High,Official About page links Careers; job-post is the first-party opportunity surface.
Vulcan Cyber,https://www.tenable.com,https://www.tenable.com/careers,https://www.tenable.com/careers,Parent-consolidated global cyber roles,Tenable Careers,Verified,Tenable completed acquisition of Vulcan Cyber on 2025-02-07; use parent careers.
WatchGuard,https://www.watchguard.com,https://www.watchguard.com/wgrd-about/careers,https://jobs.lever.co/watchguard,Global cyber vendor portal,Lever,Verified,
Wazuh,https://wazuh.com,https://wazuh.com/careers/,https://wazuh.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,
ZeroFox,https://www.zerofox.com,https://www.zerofox.com/careers/,https://careers.smartrecruiters.com/ZeroFOX,Global cyber vendor portal,SmartRecruiters,Verified,
Alcoa Australia,https://www.alcoa.com/australia,https://www.alcoa.com/careers/en,https://www.alcoa.com/careers/en,Australia resources portal,Custom / backend unverified,High,
Anglo American Australia,https://australia.angloamerican.com,https://australia.angloamerican.com/work-with-us,https://australia.angloamerican.com/work-with-us,Australia resources portal,Custom / backend unverified,High,
BHP,https://www.bhp.com,https://www.bhp.com/careers,https://careers.bhp.com/go/All-Jobs/8531900/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,
Evolution Mining,https://evolutionmining.com,https://evolutionmining.com/careers/,https://joinus.evolutionmining.com/,Australia resources portal,Custom / branded careers portal,High,
Fortescue,https://www.fortescue.com,https://careers.fortescue.com/en,https://careers.fortescue.com/en/jobs,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,
Glencore Australia,https://www.glencore.com.au,https://www.glencore.com.au/careers,https://www.glencore.com.au/careers,Australia resources portal,Custom / backend unverified,High,
Hancock Iron Ore,https://www.hancockironore.com.au,https://careers.hancockironore.com.au/,https://careers.hancockironore.com.au/viewalljobs/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,
IGO,https://www.igo.com.au,https://careers.igo.com.au/,https://careers.igo.com.au/,Australia resources portal,Custom / branded careers portal,High,
Iluka Resources,https://www.iluka.com,https://www.iluka.com/careers,https://www.iluka.com/careers/current-opportunities/,Australia resources portal,Custom first-party job board,High,
Lynas Rare Earths,https://lynasrareearths.com,https://lynasrareearths.com/careers/,https://lynasrareearths.com/careers/,Australia resources portal,Custom / backend unverified,High,
Mineral Resources,https://www.mineralresources.com.au,https://www.mineralresources.com.au/careers/,https://careers.mineralresources.com.au/,Australia resources portal,Custom / branded careers portal,High,
Newmont Australia,https://www.newmont.com,https://jobs.newmont.com/us/en,https://jobs.newmont.com/us/en/search-results,Australia resources portal,Custom / branded global jobs portal,High,
Northern Star Resources,https://www.nsrltd.com,https://www.nsrltd.com/join-our-team/,https://careers.nsrltd.com/viewalljobs/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,
Perenti,https://www.perentigroup.com,https://jobs.perentigroup.com/,https://jobs.perentigroup.com/go/All-Jobs/7836910/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,
Rio Tinto Australia,https://www.riotinto.com,https://www.riotinto.com/careers,https://www.riotinto.com/careers/available-jobs,Australia resources portal,Custom / branded global jobs portal,High,
Sandfire Resources,https://www.sandfire.com.au,https://www.sandfire.com.au/careers/,https://www.sandfire.com.au/careers/,Australia resources portal,Custom / backend unverified,High,
South32,https://www.south32.net,https://www.south32.net/careers/work-with-us,https://careers.south32.net/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,
Thiess,https://thiess.com,https://thiess.com/careers,https://careers.thiess.com/jobs/search,Australia resources portal,Custom / branded careers portal,High,
Whitehaven Coal,https://whitehavencoal.com,https://whitehavencoal.com/people-careers/,https://careers.whitehavencoal.com.au/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,
Yancoal Australia,https://www.yancoal.com.au,https://careers.yancoal.com.au/,https://careers.yancoal.com.au/go/All-Available-Jobs/4603710/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,
Alex Bank,https://www.alex.bank,https://www.alex.bank/about-alex/,https://www.alex.bank/about-alex/,Australia banking portal,Custom / backend unverified,High,Official About page exposes Work with us; no dedicated first-party vacancy portal located.
AMP Bank,https://www.amp.com.au,https://www.amp.com.au/about-amp/careers,https://www.amp.com.au/about-amp/careers,Australia banking portal,Custom / backend unverified,High,
Arab Bank Australia,https://www.arabbank.com.au,https://www.arabbank.com.au/about/careers,https://www.arabbank.com.au/about/careers,Australia banking portal,Custom / backend unverified,High,
Australian Military Bank,https://www.australianmilitarybank.com.au,https://www.australianmilitarybank.com.au/careers,https://www.australianmilitarybank.com.au/careers,Australia banking portal,Custom / backend unverified,High,
Auswide Bank,https://www.auswidebank.com.au,https://www.auswidebank.com.au/about/careers/,https://www.auswidebank.com.au/about/careers/,Shared MyState group banking portal,Custom / backend unverified,High,Auswide is a wholly owned MyState Limited subsidiary; careers page shares group opportunities.
Avenue Bank,https://www.avenuebank.com.au,https://www.avenuebank.com.au/careers/,https://www.avenuebank.com.au/careers/,Australia banking portal,Custom / backend unverified,High,Official careers page currently reports no open opportunities.
Bank Australia,https://www.bankaust.com.au,https://www.bankaust.com.au/careers,https://www.bankaust.com.au/careers,Australia banking portal,Custom / backend unverified,High,Bank Australia and Qudos Bank merged in 2025; careers remain exposed under Bank Australia brand.
Bank of Queensland,https://www.boq.com.au,https://www.boq.com.au/about-us/careers/,https://www.boq.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,
Bank of Sydney,https://www.banksyd.com.au,https://www.banksyd.com.au/careers,https://www.banksyd.com.au/careers,Australia banking portal,Custom / backend unverified,High,
Bendigo and Adelaide Bank,https://www.bendigoadelaide.com.au,https://careers.bendigobank.com.au/,https://careers.bendigobank.com.au/viewalljobs/,Australia banking portal,SAP SuccessFactors Recruiting Marketing-style,Verified,
Beyond Bank Australia,https://www.beyondbank.com.au,https://www.beyondbank.com.au/careers/,https://www.beyondbank.com.au/careers/current-opportunities/,Australia banking portal,Custom first-party job board,High,
BNK Banking,https://www.bnk.com.au,https://www.bnk.com.au/about/jobs/,https://www.bnk.com.au/about/jobs/,Australia banking portal,Custom / backend unverified,High,
Cuscal,https://www.cuscal.com,https://www.cuscal.com/about-us/careers/,https://www.cuscal.com/about-us/job-opportunities/,Australia banking portal,Custom first-party job board,High,
Heritage and People's Choice,https://www.peoplefirstbank.com.au,https://www.peoplefirstbank.com.au/about-us/careers,https://www.peoplefirstbank.com.au/about-us/careers,Rebranded Australia banking portal,Custom / backend unverified,High,Heritage and People’s Choice now operates as People First Bank; use the current brand careers portal.
Macquarie Bank,https://www.macquarie.com,https://www.macquarie.com/au/en/careers.html,https://www.macquarie.com/au/en/careers.html,Global financial-services portal,Custom / backend unverified,High,
MyState Bank,https://mystate.com.au,https://mystate.com.au/about-us/careers/,https://mystate.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,
Rabobank Australia,https://www.rabobank.com.au,https://www.rabobank.com.au/about-rabobank/careers,https://rabobank.jobs/en/jobs/,Australia banking portal,Global branded jobs portal,High,
Suncorp Bank,https://www.suncorpbank.com.au,https://www.suncorpbank.com.au/about-us/careers.html,https://careers.anz.com/,Parent-consolidated Australia banking roles,ANZ Careers,Verified,Suncorp Bank is part of ANZ; the Suncorp careers page directs candidates to ANZ Careers.
AAI,https://www.suncorpgroup.com.au,https://www.suncorpgroup.com.au/careers,https://www.suncorpgroup.com.au/careers,Parent-consolidated Australia insurance roles,Custom / backend unverified,High,AAI Limited is an insurance operating entity within Suncorp Group; use group careers.
AIG Australia,https://www.aig.com.au,https://www.aig.com.au/home/careers,https://www.aig.com.au/home/careers,Australia insurance portal,Custom / backend unverified,High,
Ansvar Insurance,https://www.ansvar.com.au,https://www.ansvar.com.au/submit-your-resume/,https://www.ansvar.com.au/submit-your-resume/,Australia insurance portal,Custom first-party application form,High,
Aon Reinsurance Australia,https://www.aon.com,https://www.aon.com/careers/,https://www.aon.com/careers/,Parent-consolidated global insurance roles,Aon Careers,High,
Arch Lenders Mortgage Indemnity,https://mortgage.archgroup.com/australia-lmi/,https://mortgage.archgroup.com/careers/,https://www.archgroup.com/careers/,Parent-consolidated global insurance roles,Arch Careers,Verified,Arch LMI Australia is part of Arch Capital Group; global Arch careers covers the affiliate.
Assetinsure,https://www.assetinsure.com.au,https://www.assetinsure.com.au/careers/,https://www.assetinsure.com.au/careers/,Australia insurance portal,Custom / backend unverified,High,
Auto & General Insurance Company,https://www.autogeneral.com.au,https://careers.autogeneral.com.au/,https://careers.autogeneral.com.au/,Australia insurance portal,Custom / branded careers portal,High,
Avant Insurance,https://avant.org.au,https://avant.org.au/careers-at-avant,https://avant.org.au/careers-at-avant,Parent-consolidated Australia insurance roles,Custom / backend unverified,High,
FM Insurance Australia,https://www.fm.com,https://careers.fm.com/careers-home,https://careers.fm.com/careers-home,Parent-consolidated global insurance roles,Custom / branded global jobs portal,Verified,
Guild Insurance,https://www.guildinsurance.com.au,https://careers.guildgroup.com.au/en/listing/,https://careers.pageuppeople.com/939/cw/en/job/,Australia insurance portal,PageUp,Verified,
HDI Global Specialty Australia,https://www.hdi.global,https://careers.hdi.group/en/your_career_opportunities/job_board,https://careers.hdi.group/en/your_career_opportunities/job_board,Parent-consolidated global insurance roles,HDI Group careers,Verified,
Hollard Insurance Company,https://www.hollard.com.au,https://www.hollard.com.au/about-hollard/careers-at-hollard,https://www.hollard.com.au/about-hollard/careers-at-hollard,Australia insurance portal,Custom / backend unverified,High,
IAG New Zealand,https://www.iag.co.nz,https://careers.iag.com.au/global/en/,https://careers.iag.com.au/global/en/search-results,Shared IAG Australia/New Zealand portal,IAG branded careers portal,Verified,
Insurance Australia,https://www.iag.com.au,https://careers.iag.com.au/global/en/,https://careers.iag.com.au/global/en/search-results,Parent-consolidated Australia insurance roles,IAG branded careers portal,Verified,
Liberty Specialty Markets Australia,https://www.libertyspecialtymarkets.com/location-and-offices/australia,https://www.libertyspecialtymarkets.com/gb-en/careers/working-for-us,https://www.libertyspecialtymarkets.com/gb-en/careers/current-opportunities/how-to-apply,Parent-consolidated global specialty-insurance roles,Liberty recruitment portal,High,
Pacific International Insurance,https://pacificins.com.au,https://www.pd.com.au/careers/,https://www.pd.com.au/careers/,Australia insurance group / brand careers,Custom / backend unverified,High,PD Insurance careers page states PD is a brand of Pacific International Insurance and exposes group hiring opportunities.
Uber,https://www.uber.com,https://jobs.uber.com/,https://jobs.uber.com/,Global tech portal,Custom / branded jobs portal,Verified,
Adobe,https://www.adobe.com,https://careers.adobe.com/us/en,https://careers.adobe.com/us/en/search-results,Global tech portal,Custom / branded jobs portal,Verified,
DoorDash,https://www.doordash.com,https://careersatdoordash.com/,https://careersatdoordash.com/,Global tech portal,Custom / branded jobs portal,Verified,
Coinbase,https://www.coinbase.com,https://www.coinbase.com/careers,https://www.coinbase.com/careers/positions,Global tech portal,Custom first-party job board,Verified,
Dell Technologies,https://www.dell.com,https://jobs.dell.com/,https://jobs.dell.com/en/search-jobs,Global tech portal,Custom / branded jobs portal,Verified,
Advanced Micro Devices,https://www.amd.com,https://careers.amd.com/,https://careers.amd.com/,Global tech portal,Custom / branded jobs portal,Verified,
American Express,https://www.americanexpress.com,https://www.americanexpress.com/en-us/careers/,https://www.americanexpress.com/en-us/careers/,Global financial-services portal,Custom / branded jobs portal,Verified,
Autodesk,https://www.autodesk.com,https://www.autodesk.com/careers/overview,https://www.autodesk.com/careers/overview,Global tech portal,Custom / branded jobs portal,Verified,
Intuit,https://www.intuit.com,https://jobs.intuit.com/,https://jobs.intuit.com/search-jobs,Global tech portal,Custom / branded jobs portal,Verified,
Applied Materials,https://www.appliedmaterials.com,https://www.appliedmaterials.com/us/en/careers.html,https://jobs.appliedmaterials.com/en/search-jobs,Global tech portal,Custom / branded jobs portal,Verified,
AT&T,https://www.att.com,https://www.att.jobs/,https://www.att.jobs/search-jobs,Global tech portal,Custom / branded jobs portal,Verified,
Verizon,https://www.verizon.com,https://mycareer.verizon.com/,https://mycareer.verizon.com/,Global tech portal,Custom / branded jobs portal,Verified,
Workday,https://www.workday.com,https://www.workday.com/en-us/company/careers/overview.html,https://workday.wd5.myworkdayjobs.com/Workday,Global software portal,Workday Recruiting,High,
Hewlett Packard Enterprise,https://www.hpe.com,https://careers.hpe.com/,https://careers.hpe.com/us/en/search-results,Global tech portal,Custom / branded jobs portal,Verified,
Northern Trust,https://www.northerntrust.com,https://www.northerntrust.com/united-states/about-us/careers,https://ntrs.wd1.myworkdayjobs.com/northerntrust,Global financial-services portal,Workday,Verified,
State Street,https://www.statestreet.com,https://careers.statestreet.com/global/en/,https://careers.statestreet.com/global/en/search-results,Global financial-services portal,Custom / branded jobs portal,Verified,
Qualcomm,https://www.qualcomm.com,https://www.qualcomm.com/company/careers,https://www.qualcomm.com/company/careers,Global tech portal,Custom / backend unverified,Verified,
Palantir Technologies,https://www.palantir.com,https://www.palantir.com/careers/,https://www.palantir.com/careers/,Global tech portal,Custom / backend unverified,High,
General Motors,https://www.gm.com,https://search-careers.gm.com/en/,https://search-careers.gm.com/en/jobs/,Global industrial portal,Custom / branded jobs portal,Verified,
Texas Instruments,https://www.ti.com,https://careers.ti.com/,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs,Global tech portal,Oracle Recruiting Cloud,Verified,
BlackRock,https://www.blackrock.com,https://careers.blackrock.com/,https://careers.blackrock.com/en/search-jobs,Global financial-services portal,Custom / branded jobs portal,Verified,
BNY Mellon,https://www.bny.com,https://www.bny.com/corporate/global/en/about-us/careers/work-with-us.html,https://www.bny.com/corporate/global/en/about-us/careers/work-with-us.html,Global financial-services portal,Custom / backend unverified,Verified,Current corporate brand is BNY; early-career page explicitly covers global internships and analyst programs.
Broadcom,https://www.broadcom.com,https://www.broadcom.com/company/careers,https://www.broadcom.com/company/careers,Global tech portal,Custom / backend unverified,Verified,
NVIDIA,https://www.nvidia.com,https://www.nvidia.com/en-us/about-nvidia/careers/,https://www.nvidia.com/en-us/about-nvidia/careers/,Global tech portal,Custom / branded jobs portal,Verified,
