Corporate Cluster ID,Resolved Group,Representative Employer,Legal/Discovery Records Covered,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Resolution Status,Verification Evidence URL,Verified Date,Parent Override,Shared Portal Group,Notes
CG-240D416901,Horizon3.ai,Horizon3.ai,1,https://horizon3.ai,https://horizon3.ai/join-our-team/,https://jobs.ashbyhq.com/horizon3ai,Global cyber vendor portal,Ashby,Verified,VERIFIED,https://jobs.ashbyhq.com/horizon3ai,2026-08-30,,Horizon3.ai,
CG-A3BB9E35DA,Huntress,Huntress,1,https://www.huntress.com,https://www.huntress.com/company/careers,https://job-boards.greenhouse.io/huntress,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/huntress,2026-08-30,,Huntress,
CG-7BD1A907A1,Island,Island,1,https://www.island.io,https://www.island.io/careers,https://www.island.io/careers,Global cyber vendor portal,Custom first-party job board,High,VERIFIED,https://www.island.io/careers,2026-08-30,,Island,
CG-48937594D4,Jamf,Jamf,1,https://www.jamf.com,https://www.jamf.com/about/careers/,https://www.jamf.com/about/careers/jobs/,Global cyber vendor portal,Custom first-party job board,High,VERIFIED,https://www.jamf.com/about/careers/jobs/,2026-08-30,,Jamf,
CG-3D017DB322,JupiterOne,JupiterOne,1,https://www.jupiterone.com,https://www.jupiterone.com/careers,https://www.jupiterone.com/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.jupiterone.com/careers,2026-08-30,,JupiterOne,
CG-D21DC32A25,Lacework,Lacework,1,https://www.lacework.com,https://www.fortinet.com/corporate/careers,https://www.fortinet.com/corporate/careers,Parent-consolidated global cyber roles,Fortinet Careers,Verified,VERIFIED,https://www.fortinet.com/corporate/careers,2026-08-30,Fortinet,Fortinet,Lacework was acquired by Fortinet; hiring is consolidated to the parent careers portal.
CG-106A0605B6,Legit Security,Legit Security,1,https://www.legitsecurity.com,https://www.legitsecurity.com/careers,https://www.legitsecurity.com/careers,Global cyber vendor portal,Custom first-party job board,High,VERIFIED,https://www.legitsecurity.com/careers,2026-08-30,,Legit Security,
CG-EC140DA816,Material Security,Material Security,1,https://material.security,https://material.security/careers,https://material.security/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://material.security/careers,2026-08-30,,Material Security,
CG-A1775A4666,Menlo Security,Menlo Security,1,https://www.menlosecurity.com,https://www.menlosecurity.com/about/life-at-menlo,https://www.menlosecurity.com/about/life-at-menlo,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.menlosecurity.com/about/life-at-menlo,2026-08-30,,Menlo Security,
CG-5D8A11D6AC,Mobb,Mobb,1,https://mobb.ai,https://content.mobb.ai/careers,https://content.mobb.ai/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://content.mobb.ai/careers,2026-08-30,,Mobb,Official careers page currently reports no open opportunities.
CG-CAF46DB36A,Noname Security,Noname Security,1,https://www.akamai.com,https://www.akamai.com/careers,https://www.akamai.com/careers,Parent-consolidated global cyber roles,Akamai Careers,Verified,VERIFIED,https://www.akamai.com/careers,2026-08-30,Akamai,Akamai,Noname Security was acquired by Akamai; use Akamai hiring portal.
CG-7BD1189F72,Obsidian Security,Obsidian Security,1,https://www.obsidiansecurity.com,https://www.obsidiansecurity.com/careers,https://job-boards.greenhouse.io/obsidiansecurity,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/obsidiansecurity,2026-08-30,,Obsidian Security,
CG-11763A16EB,Orca Security,Orca Security,1,https://orca.security,https://orca.security/about/careers/,https://orca.security/about/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://orca.security/about/careers/,2026-08-30,,Orca Security,
CG-166894328B,Panther Labs,Panther Labs,1,https://panther.com,https://panther.com/company/careers,https://panther.com/company/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://panther.com/company/careers,2026-08-30,,Panther Labs,
CG-9518ADE52B,Pentera,Pentera,1,https://pentera.io,https://pentera.io/careers/,https://pentera.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://pentera.io/careers/,2026-08-30,,Pentera,
CG-54D0BAB825,Protect AI,Protect AI,1,https://protectai.com,https://jobs.paloaltonetworks.com/en/,https://jobs.paloaltonetworks.com/en/,Parent-consolidated global cyber roles,Palo Alto Networks Careers,Verified,VERIFIED,https://jobs.paloaltonetworks.com/en/,2026-08-30,Palo Alto Networks,Palo Alto Networks,Protect AI acquisition completed by Palo Alto Networks; use parent careers.
CG-0F2AE926A5,Red Canary,Red Canary,1,https://redcanary.com,https://redcanary.com/job-openings/,https://www.zscaler.com/careers,Parent-consolidated global cyber roles,Zscaler Careers,Verified,VERIFIED,https://www.zscaler.com/careers,2026-08-30,Zscaler,Zscaler,Zscaler completed acquisition of Red Canary on 2025-08-01; Red Canary careers now points to Zscaler opportunities.
CG-D5E7B9069F,Resilience,Resilience,1,https://cyberresilience.com,https://cyberresilience.com/careers/,https://cyberresilience.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://cyberresilience.com/careers/,2026-08-30,,Resilience,
CG-DABC4A166C,Safe Security,Safe Security,1,https://safe.security,https://jobs.safe.security/,https://jobs.lever.co/safe,Global cyber vendor portal,Lever,Verified,VERIFIED,https://jobs.lever.co/safe,2026-08-30,,Safe Security,
CG-5A5C545112,Salt Security,Salt Security,1,https://salt.security,https://salt.security/careers,https://salt.security/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://salt.security/careers,2026-08-30,,Salt Security,
CG-0050DFB532,SecurityScorecard,SecurityScorecard,1,https://securityscorecard.com,https://securityscorecard.com/company/careers/,https://job-boards.greenhouse.io/securityscorecard,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/securityscorecard,2026-08-30,,SecurityScorecard,
CG-2E6F338CA4,Semgrep,Semgrep,1,https://semgrep.dev,https://semgrep.dev/about/careers/,https://semgrep.dev/about/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://semgrep.dev/about/careers/,2026-08-30,,Semgrep,
CG-D33C5FC406,Silverfort,Silverfort,1,https://www.silverfort.com,https://www.silverfort.com/careers/,https://www.silverfort.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.silverfort.com/careers/,2026-08-30,,Silverfort,
CG-0DC4DA155A,Sonatype,Sonatype,1,https://www.sonatype.com,https://www.sonatype.com/company/careers,https://www.sonatype.com/company/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.sonatype.com/company/careers,2026-08-30,,Sonatype,
CG-8C57AA1754,Sysdig,Sysdig,1,https://sysdig.com,https://www.sysdig.com/careers,https://www.sysdig.com/careers/open-positions,Global cyber vendor portal,Custom first-party job board,High,VERIFIED,https://www.sysdig.com/careers/open-positions,2026-08-30,,Sysdig,
CG-7EEF5B1253,Teleport,Teleport,1,https://goteleport.com,https://goteleport.com/careers/,https://goteleport.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://goteleport.com/careers/,2026-08-30,,Teleport,
CG-F8713D44E9,Torq,Torq,1,https://torq.io,https://torq.io/careers/,https://torq.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://torq.io/careers/,2026-08-30,,Torq,
CG-3083E3101B,Traceable AI,Traceable AI,1,https://www.traceable.ai,https://www.harness.io/company/careers,https://www.harness.io/company/jobs,Parent-consolidated global cyber roles,Harness Careers,Verified,VERIFIED,https://www.harness.io/company/jobs,2026-08-30,Harness,Harness,Traceable merged with Harness; hiring is consolidated to Harness.
CG-A6C739A9D4,Upwind Security,Upwind Security,1,https://www.upwind.io,https://www.upwind.io/careers,https://www.upwind.io/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.upwind.io/careers,2026-08-30,,Upwind Security,
CG-675FCEF182,Vectra AI,Vectra AI,1,https://www.vectra.ai,https://www.vectra.ai/about/careers,https://www.vectra.ai/about/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.vectra.ai/about/careers,2026-08-30,,Vectra AI,
CG-8420EA518A,Veracode,Veracode,1,https://www.veracode.com,https://www.veracode.com/about,https://www.veracode.com/job-post/,Global cyber vendor portal,Custom first-party job board,High,VERIFIED,https://www.veracode.com/job-post/,2026-08-30,,Veracode,Official About page links Careers; job-post is the first-party opportunity surface.
CG-C72174D1F5,Vulcan Cyber,Vulcan Cyber,1,https://www.tenable.com,https://www.tenable.com/careers,https://www.tenable.com/careers,Parent-consolidated global cyber roles,Tenable Careers,Verified,VERIFIED,https://www.tenable.com/careers,2026-08-30,Tenable,Tenable,Tenable completed acquisition of Vulcan Cyber on 2025-02-07; use parent careers.
CG-22A21A2BDA,WatchGuard,WatchGuard,1,https://www.watchguard.com,https://www.watchguard.com/wgrd-about/careers,https://jobs.lever.co/watchguard,Global cyber vendor portal,Lever,Verified,VERIFIED,https://jobs.lever.co/watchguard,2026-08-30,,WatchGuard,
CG-F232D28815,Wazuh,Wazuh,1,https://wazuh.com,https://wazuh.com/careers/,https://wazuh.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://wazuh.com/careers/,2026-08-30,,Wazuh,
CG-B4388F0BCD,ZeroFox,ZeroFox,1,https://www.zerofox.com,https://www.zerofox.com/careers/,https://careers.smartrecruiters.com/ZeroFOX,Global cyber vendor portal,SmartRecruiters,Verified,VERIFIED,https://careers.smartrecruiters.com/ZeroFOX,2026-08-30,,ZeroFox,
CG-011D8128ED,Alcoa Australia,Alcoa Australia,1,https://www.alcoa.com/australia,https://www.alcoa.com/careers/en,https://www.alcoa.com/careers/en,Australia resources portal,Custom / backend unverified,High,VERIFIED,https://www.alcoa.com/careers/en,2026-08-30,,Alcoa Australia,
CG-91FBCB2BB5,Anglo American Australia,Anglo American Australia,1,https://australia.angloamerican.com,https://australia.angloamerican.com/work-with-us,https://australia.angloamerican.com/work-with-us,Australia resources portal,Custom / backend unverified,High,VERIFIED,https://australia.angloamerican.com/work-with-us,2026-08-30,,Anglo American Australia,
CG-5494E2EBE5,BHP,BHP,1,https://www.bhp.com,https://www.bhp.com/careers,https://careers.bhp.com/go/All-Jobs/8531900/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED,https://careers.bhp.com/go/All-Jobs/8531900/,2026-08-30,,BHP,
CG-173ABD0A38,Evolution Mining,Evolution Mining,1,https://evolutionmining.com,https://evolutionmining.com/careers/,https://joinus.evolutionmining.com/,Australia resources portal,Custom / branded careers portal,High,VERIFIED,https://joinus.evolutionmining.com/,2026-08-30,,Evolution Mining,
CG-AB240C67AA,Fortescue,Fortescue,1,https://www.fortescue.com,https://careers.fortescue.com/en,https://careers.fortescue.com/en/jobs,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED,https://careers.fortescue.com/en/jobs,2026-08-30,,Fortescue,
CG-F5B110A6AA,Glencore Australia,Glencore Australia,1,https://www.glencore.com.au,https://www.glencore.com.au/careers,https://www.glencore.com.au/careers,Australia resources portal,Custom / backend unverified,High,VERIFIED,https://www.glencore.com.au/careers,2026-08-30,,Glencore Australia,
CG-AFFE3860AE,Hancock Iron Ore,Hancock Iron Ore,1,https://www.hancockironore.com.au,https://careers.hancockironore.com.au/,https://careers.hancockironore.com.au/viewalljobs/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,VERIFIED,https://careers.hancockironore.com.au/viewalljobs/,2026-08-30,,Hancock Iron Ore,
CG-97DB1DFE06,IGO,IGO,1,https://www.igo.com.au,https://careers.igo.com.au/,https://careers.igo.com.au/,Australia resources portal,Custom / branded careers portal,High,VERIFIED,https://careers.igo.com.au/,2026-08-30,,IGO,
CG-59123501C5,Iluka Resources,Iluka Resources,1,https://www.iluka.com,https://www.iluka.com/careers,https://www.iluka.com/careers/current-opportunities/,Australia resources portal,Custom first-party job board,High,VERIFIED,https://www.iluka.com/careers/current-opportunities/,2026-08-30,,Iluka Resources,
CG-6ED8E1C3AB,Lynas Rare Earths,Lynas Rare Earths,1,https://lynasrareearths.com,https://lynasrareearths.com/careers/,https://lynasrareearths.com/careers/,Australia resources portal,Custom / backend unverified,High,VERIFIED,https://lynasrareearths.com/careers/,2026-08-30,,Lynas Rare Earths,
CG-B37DE8CF02,Mineral Resources,Mineral Resources,1,https://www.mineralresources.com.au,https://www.mineralresources.com.au/careers/,https://careers.mineralresources.com.au/,Australia resources portal,Custom / branded careers portal,High,VERIFIED,https://careers.mineralresources.com.au/,2026-08-30,,Mineral Resources,
CG-2DA1EFD531,Newmont Australia,Newmont Australia,1,https://www.newmont.com,https://jobs.newmont.com/us/en,https://jobs.newmont.com/us/en/search-results,Australia resources portal,Custom / branded global jobs portal,High,VERIFIED,https://jobs.newmont.com/us/en/search-results,2026-08-30,,Newmont Australia,
CG-62BE0C5EED,Northern Star Resources,Northern Star Resources,1,https://www.nsrltd.com,https://www.nsrltd.com/join-our-team/,https://careers.nsrltd.com/viewalljobs/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,VERIFIED,https://careers.nsrltd.com/viewalljobs/,2026-08-30,,Northern Star Resources,
CG-648FFF3672,Perenti,Perenti,1,https://www.perentigroup.com,https://jobs.perentigroup.com/,https://jobs.perentigroup.com/go/All-Jobs/7836910/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,Verified,VERIFIED,https://jobs.perentigroup.com/go/All-Jobs/7836910/,2026-08-30,,Perenti,
CG-A40EA96E43,Rio Tinto Australia,Rio Tinto Australia,1,https://www.riotinto.com,https://www.riotinto.com/careers,https://www.riotinto.com/careers/available-jobs,Australia resources portal,Custom / branded global jobs portal,High,VERIFIED,https://www.riotinto.com/careers/available-jobs,2026-08-30,,Rio Tinto Australia,
CG-5BF69F3D3E,Sandfire Resources,Sandfire Resources,1,https://www.sandfire.com.au,https://www.sandfire.com.au/careers/,https://www.sandfire.com.au/careers/,Australia resources portal,Custom / backend unverified,High,VERIFIED,https://www.sandfire.com.au/careers/,2026-08-30,,Sandfire Resources,
CG-B5BDA44CFD,South32,South32,1,https://www.south32.net,https://www.south32.net/careers/work-with-us,https://careers.south32.net/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED,https://careers.south32.net/,2026-08-30,,South32,
CG-D54A449A7D,Thiess,Thiess,1,https://thiess.com,https://thiess.com/careers,https://careers.thiess.com/jobs/search,Australia resources portal,Custom / branded careers portal,High,VERIFIED,https://careers.thiess.com/jobs/search,2026-08-30,,Thiess,
CG-919C9A17BD,Whitehaven Coal,Whitehaven Coal,1,https://whitehavencoal.com,https://whitehavencoal.com/people-careers/,https://careers.whitehavencoal.com.au/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED,https://careers.whitehavencoal.com.au/,2026-08-30,,Whitehaven Coal,
CG-E5645441F7,Yancoal Australia,Yancoal Australia,1,https://www.yancoal.com.au,https://careers.yancoal.com.au/,https://careers.yancoal.com.au/go/All-Available-Jobs/4603710/,Australia resources portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED,https://careers.yancoal.com.au/go/All-Available-Jobs/4603710/,2026-08-30,,Yancoal Australia,
CG-1D7D047995,Alex Bank,Alex Bank,1,https://www.alex.bank,https://www.alex.bank/about-alex/,https://www.alex.bank/about-alex/,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.alex.bank/about-alex/,2026-08-30,,Alex Bank,Official About page exposes Work with us; no dedicated first-party vacancy portal located.
CG-B399562214,AMP Bank,AMP Bank,1,https://www.amp.com.au,https://www.amp.com.au/about-amp/careers,https://www.amp.com.au/about-amp/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.amp.com.au/about-amp/careers,2026-08-30,,AMP Bank,
CG-FB3D0C9886,Arab Bank Australia,Arab Bank Australia,1,https://www.arabbank.com.au,https://www.arabbank.com.au/about/careers,https://www.arabbank.com.au/about/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.arabbank.com.au/about/careers,2026-08-30,,Arab Bank Australia,
CG-A44B4DF2FE,Australian Military Bank,Australian Military Bank,1,https://www.australianmilitarybank.com.au,https://www.australianmilitarybank.com.au/careers,https://www.australianmilitarybank.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.australianmilitarybank.com.au/careers,2026-08-30,,Australian Military Bank,
CG-B26EF79449,Auswide Bank,Auswide Bank,1,https://www.auswidebank.com.au,https://www.auswidebank.com.au/about/careers/,https://www.auswidebank.com.au/about/careers/,Shared MyState group banking portal,Custom / backend unverified,High,VERIFIED,https://www.auswidebank.com.au/about/careers/,2026-08-30,MyState Limited,MyState Limited,Auswide is a wholly owned MyState Limited subsidiary; careers page shares group opportunities.
CG-A64077BA01,Avenue Bank,Avenue Bank,1,https://www.avenuebank.com.au,https://www.avenuebank.com.au/careers/,https://www.avenuebank.com.au/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.avenuebank.com.au/careers/,2026-08-30,,Avenue Bank,Official careers page currently reports no open opportunities.
CG-582842766E,Bank Australia,Bank Australia,1,https://www.bankaust.com.au,https://www.bankaust.com.au/careers,https://www.bankaust.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.bankaust.com.au/careers,2026-08-30,,Bank Australia,Bank Australia and Qudos Bank merged in 2025; careers remain exposed under Bank Australia brand.
CG-B0CBC65756,Bank of Queensland,Bank of Queensland,1,https://www.boq.com.au,https://www.boq.com.au/about-us/careers/,https://www.boq.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.boq.com.au/about-us/careers/,2026-08-30,,Bank of Queensland,
CG-EA5F8C9F63,Bank of Sydney,Bank of Sydney,1,https://www.banksyd.com.au,https://www.banksyd.com.au/careers,https://www.banksyd.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.banksyd.com.au/careers,2026-08-30,,Bank of Sydney,
CG-2E7B3E4042,Bendigo and Adelaide Bank,Bendigo and Adelaide Bank,1,https://www.bendigoadelaide.com.au,https://careers.bendigobank.com.au/,https://careers.bendigobank.com.au/viewalljobs/,Australia banking portal,SAP SuccessFactors Recruiting Marketing-style,Verified,VERIFIED,https://careers.bendigobank.com.au/viewalljobs/,2026-08-30,,Bendigo and Adelaide Bank,
CG-07BF87FF4D,Beyond Bank Australia,Beyond Bank Australia,1,https://www.beyondbank.com.au,https://www.beyondbank.com.au/careers/,https://www.beyondbank.com.au/careers/current-opportunities/,Australia banking portal,Custom first-party job board,High,VERIFIED,https://www.beyondbank.com.au/careers/current-opportunities/,2026-08-30,,Beyond Bank Australia,
CG-442DE21EA7,BNK Banking,BNK Banking,1,https://www.bnk.com.au,https://www.bnk.com.au/about/jobs/,https://www.bnk.com.au/about/jobs/,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.bnk.com.au/about/jobs/,2026-08-30,,BNK Banking,
CG-C1577BAD7E,Cuscal,Cuscal,1,https://www.cuscal.com,https://www.cuscal.com/about-us/careers/,https://www.cuscal.com/about-us/job-opportunities/,Australia banking portal,Custom first-party job board,High,VERIFIED,https://www.cuscal.com/about-us/job-opportunities/,2026-08-30,,Cuscal,
CG-695991C72F,Heritage and People's Choice,Heritage and People's Choice,1,https://www.peoplefirstbank.com.au,https://www.peoplefirstbank.com.au/about-us/careers,https://www.peoplefirstbank.com.au/about-us/careers,Rebranded Australia banking portal,Custom / backend unverified,High,VERIFIED,https://www.peoplefirstbank.com.au/about-us/careers,2026-08-30,People First Bank,People First Bank,Heritage and People’s Choice now operates as People First Bank; use the current brand careers portal.
CG-7C8418DE14,Macquarie Bank,Macquarie Bank,1,https://www.macquarie.com,https://www.macquarie.com/au/en/careers.html,https://www.macquarie.com/au/en/careers.html,Global financial-services portal,Custom / backend unverified,High,VERIFIED,https://www.macquarie.com/au/en/careers.html,2026-08-30,,Macquarie Bank,
CG-567F2F0215,MyState Bank,MyState Bank,1,https://mystate.com.au,https://mystate.com.au/about-us/careers/,https://mystate.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED,https://mystate.com.au/about-us/careers/,2026-08-30,,MyState Bank,
