Record ID,Employer,Canonical Employer,Parent Group,Corporate Cluster ID,Canonical Name Occurrences,Duplicate Review Flag,Entity Class,Career Scan Eligible,Sector,Discovery Geography,Org Type,Corporate Website,Website Status,Careers URL,Career Scan Status,Discovery Source,Source URL,Notes,Freeze Version,Freeze Status,Resolved Corporate Website,Resolved Careers Landing URL,Resolved Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Portal Resolution Status,Portal Verification URL,Portal Verified Date,Resolution Parent Override,Resolution Wave
EMP-00011,Bank of Sydney,Bank of Sydney,,CG-EA5F8C9F63,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.banksyd.com.au,https://www.banksyd.com.au/careers,https://www.banksyd.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.banksyd.com.au/careers,2026-08-30,,W5
EMP-00012,Bendigo and Adelaide Bank,Bendigo and Adelaide Bank,,CG-2E7B3E4042,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.bendigoadelaide.com.au,https://careers.bendigobank.com.au/,https://careers.bendigobank.com.au/viewalljobs/,Australia banking portal,SAP SuccessFactors Recruiting Marketing-style,Verified,VERIFIED_WAVE_5,https://careers.bendigobank.com.au/viewalljobs/,2026-08-30,,W5
EMP-00013,Beyond Bank Australia,Beyond Bank Australia,,CG-07BF87FF4D,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.beyondbank.com.au,https://www.beyondbank.com.au/careers/,https://www.beyondbank.com.au/careers/current-opportunities/,Australia banking portal,Custom first-party job board,High,VERIFIED_WAVE_5,https://www.beyondbank.com.au/careers/current-opportunities/,2026-08-30,,W5
EMP-00014,BNK Banking Corporation,BNK Banking,,CG-442DE21EA7,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.bnk.com.au,https://www.bnk.com.au/about/jobs/,https://www.bnk.com.au/about/jobs/,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.bnk.com.au/about/jobs/,2026-08-30,,W5
EMP-00015,Cairns Bank,Cairns Bank,,CG-65EB386C1C,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00016,Citibank Australia,Citibank Australia,Citigroup,CG-FD061ADF6F,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.citigroup.com,https://jobs.citi.com/,https://jobs.citi.com/,Global portal,Custom portal + Eightfold Match Me,High,VERIFIED_WAVE_1,https://jobs.citi.com/,2026-08-30,,W1
EMP-00017,Commonwealth Bank of Australia,Commonwealth Bank of Australia,,CG-3337A2EF23,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.commbank.com.au,https://www.commbank.com.au/about-us/careers.html,https://www.commbank.com.au/about-us/careers.html,Australia group portal,Custom / backend unverified,High,VERIFIED_WAVE_3,https://www.commbank.com.au/about-us/careers.html,2026-08-30,,W3
EMP-00018,Cuscal,Cuscal,,CG-C1577BAD7E,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.cuscal.com,https://www.cuscal.com/about-us/careers/,https://www.cuscal.com/about-us/job-opportunities/,Australia banking portal,Custom first-party job board,High,VERIFIED_WAVE_5,https://www.cuscal.com/about-us/job-opportunities/,2026-08-30,,W5
EMP-00019,Heritage and People's Choice,Heritage and People's Choice,,CG-695991C72F,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.peoplefirstbank.com.au,https://www.peoplefirstbank.com.au/about-us/careers,https://www.peoplefirstbank.com.au/about-us/careers,Rebranded Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.peoplefirstbank.com.au/about-us/careers,2026-08-30,People First Bank,W5
EMP-00020,HSBC Bank Australia,HSBC Bank Australia,HSBC,CG-616DA28709,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.hsbc.com,https://www.hsbc.com/careers,https://apply.careers.hsbc.com/search/,Global portal,SAP SuccessFactors Recruiting Marketing-style,High,VERIFIED_WAVE_1,https://apply.careers.hsbc.com/search/,2026-08-30,,W1
EMP-00021,ING Bank Australia,ING Bank Australia,ING,CG-D6D989ED83,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.ing.com,https://careers.ing.com/,https://careers.ing.com/search-jobs,Global portal,Custom / branded portal,High,VERIFIED_WAVE_1,https://careers.ing.com/search-jobs,2026-08-30,,W1
EMP-00022,J.P. Morgan Australia and New Zealand,J.P. Morgan Australia and New Zealand,JPMorgan Chase,CG-369AF0453D,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.jpmorganchase.com,https://careers.jpmorgan.com/,https://careers.jpmorgan.com/,Global portal,Custom / branded portal,High,VERIFIED_WAVE_1,https://careers.jpmorgan.com/global/en/chase,2026-08-30,,W1
EMP-00023,Macquarie Bank,Macquarie Bank,,CG-7C8418DE14,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.macquarie.com,https://www.macquarie.com/au/en/careers.html,https://www.macquarie.com/au/en/careers.html,Global financial-services portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.macquarie.com/au/en/careers.html,2026-08-30,,W5
EMP-00024,MyState Bank,MyState Bank,,CG-567F2F0215,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://mystate.com.au,https://mystate.com.au/about-us/careers/,https://mystate.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://mystate.com.au/about-us/careers/,2026-08-30,,W5
EMP-00025,National Australia Bank,National Australia Bank,,CG-174E8BEC33,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.nab.com.au,https://www.nab.com.au/about-us/careers,https://www.nab.com.au/about-us/careers,Australia/global bank portal,Custom / backend unverified,Medium-High,VERIFIED_WAVE_3,https://www.nab.com.au/about-us/careers,2026-08-30,,W3
EMP-00026,PayPal Australia,PayPal Australia,PayPal,CG-0B4E4886EB,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.paypal.com,https://careers.pypl.com/home/default.aspx,https://paypal.wd1.myworkdayjobs.com/jobs,Global portal,Workday,Verified,VERIFIED_CORRECTION_1,https://careers.pypl.com/home/default.aspx,2026-08-31,,C1
EMP-00027,Rabobank Australia,Rabobank Australia,,CG-E6071C9478,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.rabobank.com.au,https://www.rabobank.com.au/about-rabobank/careers,https://rabobank.jobs/en/jobs/,Australia banking portal,Global branded jobs portal,High,VERIFIED_WAVE_5,https://rabobank.jobs/en/jobs/,2026-08-30,,W5
EMP-00028,Revolut Bank Australia,Revolut Bank Australia,Revolut,CG-10A23080E5,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.revolut.com,https://www.revolut.com/careers/,https://www.revolut.com/careers/,Global first-party job board,Custom Revolut careers,Verified,VERIFIED_WAVE_2,https://www.revolut.com/careers/,2026-08-30,,W2
EMP-00029,Suncorp Bank,Suncorp Bank,,CG-1CF1A8F592,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.suncorpbank.com.au,https://www.suncorpbank.com.au/about-us/careers.html,https://careers.anz.com/,Parent-consolidated Australia banking roles,ANZ Careers,Verified,VERIFIED_WAVE_5,https://careers.anz.com/,2026-08-30,ANZ Group,W5
EMP-00030,Wise Australia,Wise Australia,Wise,CG-CB129D1D3B,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://wise.com,https://wise.jobs/,https://wise.jobs/jobs,Global portal,Custom / branded portal,Verified,VERIFIED_WAVE_2,https://wise.jobs/jobs,2026-08-30,,W2
EMP-00031,Aero PM Pty Ltd,Aero PM Pty,,CG-668752A59F,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00032,Airly Group,Airly Group,,CG-75718E9156,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00033,AMOG Consulting,AMOG Consulting,,CG-FB071DE296,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00034,Anywise,Anywise,,CG-73B0EC5A89,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00035,Applied Fasteners and Tooling Pty Ltd,Applied Fasteners and Tooling Pty,,CG-84E4D9CC24,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00036,Aurecon,Aurecon,,CG-D3ED369141,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00037,Australian Missile Corporation,Australian Missile,,CG-7DFD4E0938,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00038,Barclay Engineering,Barclay Engineering,,CG-247D1A773A,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00039,Bastion Defence,Bastion Defence,,CG-376A316257,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00040,Beaten Zone Venture Partners,Beaten Zone Venture Partners,,CG-CCDAD0926C,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00041,Benelec Pty Ltd,Benelec Pty,,CG-7FEAF773E5,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00042,Bid Write Pty Ltd,Bid Write Pty,,CG-700A823849,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00043,Blue Water Shipping,Blue Water Shipping,,CG-6B0E2D62BF,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00044,BRIGHT STEELS PTY LTD,BRIGHT STEELS PTY,,CG-6680221F25,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00045,Business Education Institute,Business Education Institute,,CG-11FE530FAE,1,,Research / Education Employer,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00046,Buzzworks,Buzzworks,,CG-991FD22E74,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00047,Cadpro,Cadpro,,CG-9427BC9C92,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00048,Cirrus Real Time Processing Systems,Cirrus Real Time Processing Systems,,CG-B654B82B46,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00049,Complete Asset Management Solutions,Complete Asset Management Solutions,,CG-84CF692FAF,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00050,CyberOps Pty Ltd,CyberOps Pty,,CG-0EC12E9DE8,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00051,Deep Supplies,Deep Supplies,,CG-6C40A7026E,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00052,Defence Trailblazer,Defence Trailblazer,,CG-E1CBF5A294,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00053,Department 13,Department 13,,CG-7FAB9C0023,1,,Employer Candidate,Yes,Defence / security / cyber / aerospace / industrial,Australia,Company,,Pending resolution,,Not started,AIDN public member ecosystem,https://aidn.org.au/,"Current companies named across AIDN public directory, member showcases, boards and state committee pages; full directory is dynamic/member-oriented.",v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
